DATE,3 Month Treasury Bills Yield
1/3/1958,1.3
1/4/1958,1.13
1/5/1958,0.91
1/6/1958,0.83
1/7/1958,0.91
1/8/1958,1.69
1/9/1958,2.44
1/10/1958,2.63
1/11/1958,2.67
1/12/1958,2.77
1/1/1959,2.82
1/2/1959,2.7
1/3/1959,2.8
1/4/1959,2.95
1/5/1959,2.84
1/6/1959,3.21
1/7/1959,3.2
1/8/1959,3.38
1/9/1959,4.04
1/10/1959,4.05
1/11/1959,4.15
1/12/1959,4.49
1/1/1960,4.35
1/2/1960,3.96
1/3/1960,3.31
1/4/1960,3.23
1/5/1960,3.29
1/6/1960,2.46
1/7/1960,2.3
1/8/1960,2.3
1/9/1960,2.48
1/10/1960,2.3
1/11/1960,2.37
1/12/1960,2.25
1/1/1961,2.24
1/2/1961,2.42
1/3/1961,2.39
1/4/1961,2.29
1/5/1961,2.29
1/6/1961,2.33
1/7/1961,2.24
1/8/1961,2.39
1/9/1961,2.28
1/10/1961,2.3
1/11/1961,2.48
1/12/1961,2.6
1/1/1962,2.72
1/2/1962,2.73
1/3/1962,2.72
1/4/1962,2.73
1/5/1962,2.69
1/6/1962,2.73
1/7/1962,2.92
1/8/1962,2.82
1/9/1962,2.78
1/10/1962,2.74
1/11/1962,2.83
1/12/1962,2.87
1/1/1963,2.91
1/2/1963,2.92
1/3/1963,2.89
1/4/1963,2.9
1/5/1963,2.93
1/6/1963,2.99
1/7/1963,3.18
1/8/1963,3.32
1/9/1963,3.38
1/10/1963,3.45
1/11/1963,3.52
1/12/1963,3.52
1/1/1964,3.52
1/2/1964,3.53
1/3/1964,3.54
1/4/1964,3.47
1/5/1964,3.48
1/6/1964,3.48
1/7/1964,3.46
1/8/1964,3.5
1/9/1964,3.53
1/10/1964,3.57
1/11/1964,3.64
1/12/1964,3.84
1/1/1965,3.81
1/2/1965,3.93
1/3/1965,3.93
1/4/1965,3.93
1/5/1965,3.89
1/6/1965,3.8
1/7/1965,3.84
1/8/1965,3.84
1/9/1965,3.92
1/10/1965,4.03
1/11/1965,4.09
1/12/1965,4.38
1/1/1966,4.59
1/2/1966,4.65
1/3/1966,4.59
1/4/1966,4.62
1/5/1966,4.64
1/6/1966,4.5
1/7/1966,4.8
1/8/1966,4.96
1/9/1966,5.37
1/10/1966,5.35
1/11/1966,5.32
1/12/1966,4.96
1/1/1967,4.72
1/2/1967,4.56
1/3/1967,4.26
1/4/1967,3.84
1/5/1967,3.6
1/6/1967,3.54
1/7/1967,4.21
1/8/1967,4.27
1/9/1967,4.42
1/10/1967,4.56
1/11/1967,4.73
1/12/1967,4.97
1/1/1968,5
1/2/1968,4.98
1/3/1968,5.17
1/4/1968,5.38
1/5/1968,5.66
1/6/1968,5.52
1/7/1968,5.31
1/8/1968,5.09
1/9/1968,5.19
1/10/1968,5.35
1/11/1968,5.45
1/12/1968,5.96
1/1/1969,6.14
1/2/1969,6.12
1/3/1969,6.02
1/4/1969,6.11
1/5/1969,6.04
1/6/1969,6.44
1/7/1969,7
1/8/1969,6.98
1/9/1969,7.09
1/10/1969,7
1/11/1969,7.24
1/12/1969,7.82
1/1/1970,7.87
1/2/1970,7.13
1/3/1970,6.63
1/4/1970,6.51
1/5/1970,6.84
1/6/1970,6.68
1/7/1970,6.45
1/8/1970,6.41
1/9/1970,6.12
1/10/1970,5.91
1/11/1970,5.28
1/12/1970,4.87
1/1/1971,4.44
1/2/1971,3.7
1/3/1971,3.38
1/4/1971,3.86
1/5/1971,4.14
1/6/1971,4.75
1/7/1971,5.4
1/8/1971,4.94
1/9/1971,4.69
1/10/1971,4.46
1/11/1971,4.22
1/12/1971,4.01
1/1/1972,3.38
1/2/1972,3.2
1/3/1972,3.73
1/4/1972,3.71
1/5/1972,3.69
1/6/1972,3.91
1/7/1972,3.98
1/8/1972,4.02
1/9/1972,4.66
1/10/1972,4.74
1/11/1972,4.78
1/12/1972,5.07
1/1/1973,5.41
1/2/1973,5.6
1/3/1973,6.09
1/4/1973,6.26
1/5/1973,6.36
1/6/1973,7.19
1/7/1973,8.01
1/8/1973,8.67
1/9/1973,8.29
1/10/1973,7.22
1/11/1973,7.83
1/12/1973,7.45
1/1/1974,7.77
1/2/1974,7.12
1/3/1974,7.96
1/4/1974,8.33
1/5/1974,8.23
1/6/1974,7.9
1/7/1974,7.55
1/8/1974,8.96
1/9/1974,8.06
1/10/1974,7.46
1/11/1974,7.47
1/12/1974,7.15
1/1/1975,6.26
1/2/1975,5.5
1/3/1975,5.49
1/4/1975,5.61
1/5/1975,5.23
1/6/1975,5.34
1/7/1975,6.13
1/8/1975,6.44
1/9/1975,6.42
1/10/1975,5.96
1/11/1975,5.48
1/12/1975,5.44
1/1/1976,4.87
1/2/1976,4.88
1/3/1976,5
1/4/1976,4.86
1/5/1976,5.2
1/6/1976,5.41
1/7/1976,5.23
1/8/1976,5.14
1/9/1976,5.08
1/10/1976,4.92
1/11/1976,4.75
1/12/1976,4.35
1/1/1977,4.62
1/2/1977,4.67
1/3/1977,4.6
1/4/1977,4.54
1/5/1977,4.96
1/6/1977,5.02
1/7/1977,5.19
1/8/1977,5.49
1/9/1977,5.81
1/10/1977,6.16
1/11/1977,6.1
1/12/1977,6.07
1/1/1978,6.44
1/2/1978,6.45
1/3/1978,6.29
1/4/1978,6.29
1/5/1978,6.41
1/6/1978,6.73
1/7/1978,7.01
1/8/1978,7.08
1/9/1978,7.85
1/10/1978,7.99
1/11/1978,8.64
1/12/1978,9.08
1/1/1979,9.35
1/2/1979,9.32
1/3/1979,9.48
1/4/1979,9.46
1/5/1979,9.61
1/6/1979,9.06
1/7/1979,9.24
1/8/1979,9.52
1/9/1979,10.26
1/10/1979,11.7
1/11/1979,11.79
1/12/1979,12.04
1/1/1980,12
1/2/1980,12.86
1/3/1980,15.2
1/4/1980,13.2
1/5/1980,8.58
1/6/1980,7.07
1/7/1980,8.06
1/8/1980,9.13
1/9/1980,10.27
1/10/1980,11.62
1/11/1980,13.73
1/12/1980,15.49
1/1/1981,15.02
1/2/1981,14.79
1/3/1981,13.36
1/4/1981,13.69
1/5/1981,16.3
1/6/1981,14.73
1/7/1981,14.95
1/8/1981,15.51
1/9/1981,14.7
1/10/1981,13.54
1/11/1981,10.86
1/12/1981,10.85
1/1/1982,12.28
1/2/1982,13.48
1/3/1982,12.68
1/4/1982,12.7
1/5/1982,12.09
1/6/1982,12.47
1/7/1982,11.35
1/8/1982,8.68
1/9/1982,7.92
1/10/1982,7.71
1/11/1982,8.07
1/12/1982,7.94
1/1/1983,7.86
1/2/1983,8.11
1/3/1983,8.35
