date,close,volume
12/12/1980,28.7392,469033600
15/12/1980,27.2608,175884800
16/12/1980,25.2448,105728000
17/12/1980,25.872,86441600
18/12/1980,26.6336,73449600
19/12/1980,28.2464,48630400
22/12/1980,29.6352,37363200
23/12/1980,30.8672,46950400
24/12/1980,32.5024,48003200
26/12/1980,35.504,55574400
29/12/1980,35.9968,93161600
30/12/1980,35.1232,68880000
31/12/1980,34.1152,35750400
2/1/1981,34.496,21660800
5/1/1981,33.7568,35728000
6/1/1981,32.256,45158400
7/1/1981,30.8672,55686400
8/1/1981,30.24,39827200
9/1/1981,31.8752,21504000
12/1/1981,31.6288,23699200
13/1/1981,30.5088,23049600
14/1/1981,30.6208,14291200
15/1/1981,31.248,14067200
16/1/1981,31.0016,13395200
19/1/1981,32.8832,41574400
20/1/1981,31.8752,30083200
21/1/1981,32.5024,15904000
22/1/1981,32.8832,35548800
23/1/1981,32.7488,11222400
26/1/1981,32.256,24640000
27/1/1981,32.0096,23699200
28/1/1981,31.0016,28156800
29/1/1981,29.8816,43904000
30/1/1981,28.2464,46188800
2/2/1981,26.6336,23766400
3/2/1981,27.6192,19152000
4/2/1981,28.6272,27865600
5/2/1981,28.6272,7929600
6/2/1981,28.7392,13865600
9/2/1981,27.2608,16755200
10/2/1981,27.2608,18345600
11/2/1981,26.3648,13843200
12/2/1981,26.1184,14560000
13/2/1981,25.4912,11155200
17/2/1981,26.1184,12275200
18/2/1981,27.2608,19241600
19/2/1981,25.6256,22310400
20/2/1981,24.2592,24371200
23/2/1981,24.6176,14112000
24/2/1981,23.744,16979200
25/2/1981,25.2448,19488000
26/2/1981,25.6256,10841600
27/2/1981,26.4992,14761600
2/3/1981,26.6336,11760000
3/3/1981,26.2528,16172800
4/3/1981,26.0064,13708800
5/3/1981,25.872,5376000
6/3/1981,25.6256,11603200
9/3/1981,23.632,15321600
10/3/1981,22.4896,28380800
11/3/1981,21.616,29859200
12/3/1981,22.4896,59248000
13/3/1981,22.2432,231302400
16/3/1981,23.1168,37228800
17/3/1981,24.2592,43747200
18/3/1981,25.76,36937600
19/3/1981,25.4912,37811200
20/3/1981,25.76,14604800
23/3/1981,26.7456,22019200
24/3/1981,26.6336,28156800
25/3/1981,26.1184,7056000
26/3/1981,25.6256,12275200
27/3/1981,24.752,12252800
30/3/1981,24.752,9900800
31/3/1981,24.5056,15993600
1/4/1981,24.2592,34070400
2/4/1981,26.3648,31404800
3/4/1981,26.4992,16486400
6/4/1981,26.0064,22803200
7/4/1981,25.76,10684800
8/4/1981,26.992,21952000
9/4/1981,27.5072,12499200
10/4/1981,27.8656,33465600
13/4/1981,27.8656,16060800
14/4/1981,27.8656,6652800
15/4/1981,26.4992,34048000
16/4/1981,24.9984,23878400
20/4/1981,25.76,35347200
21/4/1981,27.5072,28537600
22/4/1981,28.4928,18995200
23/4/1981,29.2544,58016000
24/4/1981,29.008,35056000
27/4/1981,28.7392,38528000
28/4/1981,28.2464,32188800
29/4/1981,27.8656,13641600
30/4/1981,28.3808,12611200
1/5/1981,28.3808,16553600
