date,close,volume
1980-12-12,28.7392,469033600
1980-12-15,27.2608,175884800
1980-12-16,25.2448,105728000
1980-12-17,25.872,86441600
1980-12-18,26.6336,73449600
1980-12-19,28.2464,48630400
1980-12-22,29.6352,37363200
1980-12-23,30.8672,46950400
1980-12-24,32.5024,48003200
1980-12-26,35.504,55574400
1980-12-29,35.9968,93161600
1980-12-30,35.1232,68880000
1980-12-31,34.1152,35750400
1981-01-02,34.496,21660800
1981-01-05,33.7568,35728000
1981-01-06,32.256,45158400
1981-01-07,30.8672,55686400
1981-01-08,30.24,39827200
1981-01-09,31.8752,21504000
1981-01-12,31.6288,23699200
1981-01-13,30.5088,23049600
1981-01-14,30.6208,14291200
1981-01-15,31.248,14067200
1981-01-16,31.0016,13395200
1981-01-19,32.8832,41574400
1981-01-20,31.8752,30083200
1981-01-21,32.5024,15904000
1981-01-22,32.8832,35548800
1981-01-23,32.7488,11222400
1981-01-26,32.256,24640000
1981-01-27,32.0096,23699200
1981-01-28,31.0016,28156800
1981-01-29,29.8816,43904000
1981-01-30,28.2464,46188800
1981-02-02,26.6336,23766400
1981-02-03,27.6192,19152000
1981-02-04,28.6272,27865600
1981-02-05,28.6272,7929600
1981-02-06,28.7392,13865600
1981-02-09,27.2608,16755200
1981-02-10,27.2608,18345600
1981-02-11,26.3648,13843200
1981-02-12,26.1184,14560000
1981-02-13,25.4912,11155200
1981-02-17,26.1184,12275200
1981-02-18,27.2608,19241600
1981-02-19,25.6256,22310400
1981-02-20,24.2592,24371200
1981-02-23,24.6176,14112000
1981-02-24,23.744,16979200
1981-02-25,25.2448,19488000
1981-02-26,25.6256,10841600
1981-02-27,26.4992,14761600
1981-03-02,26.6336,11760000
1981-03-03,26.2528,16172800
1981-03-04,26.0064,13708800
1981-03-05,25.872,5376000
1981-03-06,25.6256,11603200
1981-03-09,23.632,15321600
1981-03-10,22.4896,28380800
1981-03-11,21.616,29859200
1981-03-12,22.4896,59248000
1981-03-13,22.2432,231302400
1981-03-16,23.1168,37228800
1981-03-17,24.2592,43747200
1981-03-18,25.76,36937600
1981-03-19,25.4912,37811200
1981-03-20,25.76,14604800
1981-03-23,26.7456,22019200
1981-03-24,26.6336,28156800
1981-03-25,26.1184,7056000
1981-03-26,25.6256,12275200
1981-03-27,24.752,12252800
1981-03-30,24.752,9900800
1981-03-31,24.5056,15993600
1981-04-01,24.2592,34070400
1981-04-02,26.3648,31404800
1981-04-03,26.4992,16486400
1981-04-06,26.0064,22803200
1981-04-07,25.76,10684800
1981-04-08,26.992,21952000
1981-04-09,27.5072,12499200
1981-04-10,27.8656,33465600
1981-04-13,27.8656,16060800
1981-04-14,27.8656,6652800
1981-04-15,26.4992,34048000
1981-04-16,24.9984,23878400
1981-04-20,25.76,35347200
1981-04-21,27.5072,28537600
1981-04-22,28.4928,18995200
1981-04-23,29.2544,58016000
1981-04-24,29.008,35056000
1981-04-27,28.7392,38528000
1981-04-28,28.2464,32188800
1981-04-29,27.8656,13641600
1981-04-30,28.3808,12611200
1981-05-01,28.3808,16553600
1981-05-04,28.2464,14448000
1981-05-05,28.1344,17539200
1981-05-06,27.3728,18950400
1981-05-07,27.7536,9363200
1981-05-08,28.0,7907200
1981-05-11,27.3728,11939200
1981-05-12,27.3728,4256000
1981-05-13,27.2608,4905600
1981-05-14,26.88,4928000
1981-05-15,27.5072,4905600
1981-05-18,28.0,4166400
1981-05-19,27.5072,25424000
1981-05-20,28.3808,13283200
1981-05-21,29.9936,32211200
1981-05-22,31.3824,31427200
1981-05-26,31.248,85344000
1981-05-27,32.9952,149497600
1981-05-28,32.9952,73987200
1981-05-29,33.1296,59382400
1981-06-01,33.1296,51251200
1981-06-02,31.4944,40432000
1981-06-03,31.4944,39446400
1981-06-04,32.1216,56067200
1981-06-05,31.6288,57680000
1981-06-08,30.5088,93497600
1981-06-09,31.136,119593600
1981-06-10,31.4944,25222400
1981-06-11,32.8832,38976000
1981-06-12,32.5024,25804800
1981-06-15,32.368,143763200
1981-06-16,31.7408,37251200
1981-06-17,31.248,27574400
1981-06-18,31.136,23049600
1981-06-19,30.24,27507200
1981-06-22,29.12,10841600
1981-06-23,29.6352,15030400
1981-06-24,28.8736,23027200
1981-06-25,29.5008,24259200
1981-06-26,29.12,23788800
1981-06-29,28.1344,10595200
1981-06-30,26.0064,35907200
1981-07-01,25.76,170464000
1981-07-02,25.76,30284800
1981-07-06,24.864,16531200
1981-07-07,25.1328,15836800
1981-07-08,26.1184,16620800
1981-07-09,24.1248,32883200
1981-07-10,22.2432,55171200
1981-07-13,22.7584,45740800
1981-07-14,23.744,19779200
1981-07-15,24.3712,10953600
1981-07-16,24.9984,15232000
1981-07-17,25.872,19824000
1981-07-20,24.1248,23654400
1981-07-21,23.9904,31942400
1981-07-22,22.624,22668800
1981-07-23,23.2512,34451200
1981-07-24,23.9904,28851200
1981-07-27,24.9984,17337600
1981-07-28,24.1248,22848000
1981-07-29,23.744,15500800
1981-07-30,24.6176,9900800
1981-07-31,24.9984,10953600
1981-08-03,24.752,12432000
1981-08-04,25.1328,31673600
1981-08-05,25.872,17494400
1981-08-06,25.2448,10528000
1981-08-07,25.2448,9206400
1981-08-10,25.2448,0
1981-08-11,24.5056,71456000
1981-08-12,23.9904,26275200
1981-08-13,23.2512,27484800
